date	Portfolio	ccy-1	ccy-2
18/02/2019	FXTEST	1.143301397	0.893694982
15/02/2019	FXTEST	1.140693085	0.896860987
14/02/2019	FXTEST	1.133118796	0.900252071
13/02/2019	FXTEST	1.14153948	0.900576369
12/02/2019	FXTEST	1.140133852	0.901225667
11/02/2019	FXTEST	1.140914329	0.901794571
08/02/2019	FXTEST	1.142739604	0.901388138
07/02/2019	FXTEST	1.142400183	0.902445628
06/02/2019	FXTEST	1.139211666	0.900009
05/02/2019	FXTEST	1.134198349	0.899806542
04/02/2019	FXTEST	1.144885225	0.901243
01/02/2019	FXTEST	1.14187839	0.902934537
31/01/2019	FXTEST	1.143379831	0.903628067
30/01/2019	FXTEST	1.144112398	0.906043309
29/01/2019	FXTEST	1.148349572	0.911701691
28/01/2019	FXTEST	1.15036409	0.912325518
25/01/2019	FXTEST	1.155374804	0.906618314
24/01/2019	FXTEST	1.148567162	0.905387053
23/01/2019	FXTEST	1.14825064	0.905223138
22/01/2019	FXTEST	1.140797189	0.904486252
21/01/2019	FXTEST	1.134751773	0.905715062
18/01/2019	FXTEST	1.135383078	0.909338911
17/01/2019	FXTEST	1.134134032	0.906700517
16/01/2019	FXTEST	1.128515325	0.902282775
15/01/2019	FXTEST	1.119482351	0.909256228
14/01/2019	FXTEST	1.125707789	0.904977376
11/01/2019	FXTEST	1.117143687	0.90424089
10/01/2019	FXTEST	1.108696616	0.904568069
09/01/2019	FXTEST	1.107125459	0.908265213
08/01/2019	FXTEST	1.112644087	0.90962735
07/01/2019	FXTEST	1.1141813	0.91124248
04/01/2019	FXTEST	1.115026092	0.912575287
03/01/2019	FXTEST	1.106060103	0.913993236
02/01/2019	FXTEST	1.110592834	0.913408842
31/12/2018	FXTEST	1.117156167	0.916674306
28/12/2018	FXTEST	1.109299256	0.916086479
27/12/2018	FXTEST	1.107910481	0.913575735
26/12/2018	FXTEST	1.110975325	0.910332271
24/12/2018	FXTEST	1.114305453	0.910829766
21/12/2018	FXTEST	1.1105805	0.909545682
20/12/2018	FXTEST	1.106831363	0.912825194
19/12/2018	FXTEST	1.10702741	0.910705341
18/12/2018	FXTEST	1.111716379	0.908182726
17/12/2018	FXTEST	1.112334679	0.905879156
14/12/2018	FXTEST	1.111790539	0.907029478
13/12/2018	FXTEST	1.112099644	0.906084356
12/12/2018	FXTEST	1.113833816	0.904813608
11/12/2018	FXTEST	1.106427236	0.899523253
10/12/2018	FXTEST	1.101770545	0.897585495
07/12/2018	FXTEST	1.12027245	0.897182846
06/12/2018	FXTEST	1.123048133	0.898391879
05/12/2018	FXTEST	1.123078133	0.899523253
04/12/2018	FXTEST	1.1212145	0.900414191
03/12/2018	FXTEST	1.122498232	0.901631954
30/11/2018	FXTEST	1.122384843	0.901550667
29/11/2018	FXTEST	1.122120359	0.899604174
28/11/2018	FXTEST	1.130671732	0.899118864
27/11/2018	FXTEST	1.128387985	0.896539358
26/11/2018	FXTEST	1.130965845	0.895255148
23/11/2018	FXTEST	1.128795575	0.896458987
22/11/2018	FXTEST	1.128349788	0.903097625
21/11/2018	FXTEST	1.121730157	0.903056847
20/11/2018	FXTEST	1.123898579	0.912825194
19/11/2018	FXTEST	1.247645328	0.910705341
16/11/2018	FXTEST	1.126722477	0.900414191
15/11/2018	FXTEST	1.129598879	0.905879156
14/11/2018	FXTEST	1.14998045	0.895255148
